DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
209 [  2.93047565e-05] [  2.71582122e-05] [  2.93047565e-05]
210 [  1.96373756e-05] [  1.96648746e-05] [  1.96373756e-05]
211 [  2.60291980e-05] [  2.39907125e-05] [  2.60291980e-05]
212 [  3.13579323e-05] [  2.78042364e-05] [  3.13579323e-05]
213 [  3.19952777e-05] [  2.79606231e-05] [  3.19952777e-05]
214 [  3.15775854e-05] [  2.73269541e-05] [  3.15775854e-05]
215 [  2.20624855e-05] [  2.01076701e-05] [  2.20624855e-05]
216 [  3.02880692e-05] [  2.63420698e-05] [  3.02880692e-05]
217 [  3.18673044e-05] [  2.73618349e-05] [  3.18673044e-05]
218 [  3.18399454e-05] [  2.71444139e-05] [  3.18399454e-05]
219 [  3.15067552e-05] [  2.67142983e-05] [  3.15067552e-05]
220 [  2.22225601e-05] [  1.98003861e-05] [  2.22225601e-05]
221 [  3.02407514e-05] [  2.59524255e-05] [  3.02407514e-05]
222 [  3.24212987e-05] [  2.75502621e-05] [  3.24212987e-05]
223 [  3.26105190e-05] [  2.75957900e-05] [  3.26105190e-05]
224 [  3.23720457e-05] [  2.73219263e-05] [  3.23720457e-05]
225 [  2.48961383e-05] [  2.17982587e-05] [  2.48961383e-05]
226 [  4.33211097e-05] [  3.71078177e-05] [  4.33211097e-05]
227 [  2.14177932e-05] [  1.88477464e-05] [  2.14177932e-05]
228 [  3.04458548e-05] [  2.59296784e-05] [  3.04458548e-05]
229 [  3.25534319e-05] [  2.75604228e-05] [  3.25534319e-05]
230 [  3.28901107e-05] [  2.78033726e-05] [  3.28901107e-05]
231 [  2.70498332e-05] [  2.35365488e-05] [  2.70498332e-05]
232 [  3.34184224e-05] [  2.86084764e-05] [  3.34184224e-05]
233 [  3.35018210e-05] [  2.86456794e-05] [  3.35018210e-05]
234 [  3.33432171e-05] [  2.85004000e-05] [  3.33432171e-05]
235 [  2.88028610e-05] [  2.51746501e-05] [  2.88028610e-05]
236 [  3.99586983e-05] [  3.44743460e-05] [  3.99586983e-05]
237 [  2.75570800e-05] [  2.41877493e-05] [  2.75570800e-05]
238 [  3.20650178e-05] [  2.77336340e-05] [  3.20650178e-05]
239 [  3.31487718e-05] [  2.85832676e-05] [  3.31487718e-05]
240 [  2.93742492e-05] [  2.58501360e-05] [  2.93742492e-05]
241 [  3.37955087e-05] [  2.93765876e-05] [  3.37955087e-05]
242 [  3.39374609e-05] [  2.94771621e-05] [  3.39374609e-05]
243 [  3.38666725e-05] [  2.94150867e-05] [  3.38666725e-05]
244 [  3.37716384e-05] [  2.93388271e-05] [  3.37716384e-05]
245 [  3.36968215e-05] [  2.92831524e-05] [  3.36968215e-05]
246 [  3.08868713e-05] [  2.72433722e-05] [  3.08868713e-05]
247 [  3.44758383e-05] [  3.01505307e-05] [  3.44758383e-05]
248 [  3.39838205e-05] [  2.97561869e-05] [  3.39838205e-05]
249 [  3.38339212e-05] [  2.96363244e-05] [  3.38339212e-05]
250 [  3.37902101e-05] [  2.96044965e-05] [  3.37902101e-05]
251 [  3.15664373e-05] [  2.79925381e-05] [  3.15664373e-05]
252 [  3.44505484e-05] [  3.03278045e-05] [  3.44505484e-05]
253 [  3.41010903e-05] [  3.00479544e-05] [  3.41010903e-05]
254 [  3.40101845e-05] [  2.99759808e-05] [  3.40101845e-05]
255 [  3.39949076e-05] [  2.99671428e-05] [  3.39949076e-05]
256 [  3.23489411e-05] [  2.87765404e-05] [  3.23489411e-05]
257 [  3.46932562e-05] [  3.06863060e-05] [  3.46932562e-05]
258 [  3.42421865e-05] [  3.03272953e-05] [  3.42421865e-05]
259 [  3.41441586e-05] [  3.02502177e-05] [  3.41441586e-05]
260 [  3.41409217e-05] [  3.02508364e-05] [  3.41409217e-05]
261 [  3.29044488e-05] [  2.93586151e-05] [  3.29044488e-05]
262 [  3.48098279e-05] [  3.09172264e-05] [  3.48098279e-05]
263 [  3.43588715e-05] [  3.05592414e-05] [  3.43588715e-05]
264 [  3.42719915e-05] [  3.04913975e-05] [  3.42719915e-05]
265 [  3.42812416e-05] [  3.05019547e-05] [  3.42812416e-05]
266 [  3.33720020e-05] [  2.98479121e-05] [  3.33720020e-05]
267 [  3.49264430e-05] [  3.11261845e-05] [  3.49264430e-05]
268 [  3.44656337e-05] [  3.07610866e-05] [  3.44656337e-05]
269 [  3.43846727e-05] [  3.06982486e-05] [  3.43846727e-05]
270 [  3.43997817e-05] [  3.07133364e-05] [  3.43997817e-05]
271 [  3.37370329e-05] [  3.02384330e-05] [  3.37370329e-05]
272 [  3.50098987e-05] [  3.12905752e-05] [  3.50098987e-05]
273 [  3.45589044e-05] [  3.09337562e-05] [  3.45589044e-05]
274 [  3.44843175e-05] [  3.08761330e-05] [  3.44843175e-05]
275 [  3.45033484e-05] [  3.08941739e-05] [  3.45033484e-05]
276 [  3.40302524e-05] [  3.05569975e-05] [  3.40302524e-05]
277 [  3.50748426e-05] [  3.14251608e-05] [  3.50748426e-05]
278 [  3.46389166e-05] [  3.10805355e-05] [  3.46389166e-05]
279 [  3.45708762e-05] [  3.10281552e-05] [  3.45708762e-05]
280 [  3.45930313e-05] [  3.10485323e-05] [  3.45930313e-05]
281 [  3.42633795e-05] [  3.08152572e-05] [  3.42633795e-05]
282 [  3.51566663e-05] [  3.15627231e-05] [  3.51566663e-05]
283 [  3.46741346e-05] [  3.11789079e-05] [  3.46741346e-05]
284 [  3.46384507e-05] [  3.11521398e-05] [  3.46384507e-05]
285 [  3.46674513e-05] [  3.11777126e-05] [  3.46674513e-05]
286 [  3.44452897e-05] [  3.10222998e-05] [  3.44452897e-05]
287 [  3.51550117e-05] [  3.16186675e-05] [  3.51550117e-05]
288 [  3.47690847e-05] [  3.13140016e-05] [  3.47690847e-05]
289 [  3.47119322e-05] [  3.12702328e-05] [  3.47119322e-05]
290 [  3.47329750e-05] [  3.12892367e-05] [  3.47329750e-05]
291 [  3.45921698e-05] [  3.11925787e-05] [  3.45921698e-05]
292 [  3.50055408e-05] [  3.15391764e-05] [  3.50055408e-05]
293 [  3.49976216e-05] [  3.15469398e-05] [  3.49976216e-05]
294 [  3.48034832e-05] [  3.13947045e-05] [  3.48034832e-05]
295 [  3.47881921e-05] [  3.13846023e-05] [  3.47881921e-05]
296 [  3.48153982e-05] [  3.14089245e-05] [  3.48153982e-05]
297 [  3.47564542e-05] [  3.13715213e-05] [  3.47564542e-05]
298 [  3.52370894e-05] [  3.17825863e-05] [  3.52370894e-05]
299 [  3.48720891e-05] [  3.14948038e-05] [  3.48720891e-05]
300 [  3.48151111e-05] [  3.14511327e-05] [  3.48151111e-05]
301 [  3.48326342e-05] [  3.14670540e-05] [  3.48326342e-05]
302 [  3.47862411e-05] [  3.14380112e-05] [  3.47862411e-05]
303 [  3.51772891e-05] [  3.17717075e-05] [  3.51772891e-05]
304 [  3.48973229e-05] [  3.15510973e-05] [  3.48973229e-05]
305 [  3.48571985e-05] [  3.15205682e-05] [  3.48571985e-05]
306 [  3.48758487e-05] [  3.15371391e-05] [  3.48758487e-05]
307 [  3.48670774e-05] [  3.15348642e-05] [  3.48670774e-05]
308 [  3.51928622e-05] [  3.18149903e-05] [  3.51928622e-05]
309 [  3.49263218e-05] [  3.16048546e-05] [  3.49263218e-05]
310 [  3.48873697e-05] [  3.15750533e-05] [  3.48873697e-05]
311 [  3.49042242e-05] [  3.15899454e-05] [  3.49042242e-05]
312 [  3.49127243e-05] [  3.15996382e-05] [  3.49127243e-05]
313 [  3.51840036e-05] [  3.18338766e-05] [  3.51840036e-05]
314 [  3.49481008e-05] [  3.16478963e-05] [  3.49481008e-05]
315 [  3.49140105e-05] [  3.16218111e-05] [  3.49140105e-05]
316 [  3.49142974e-05] [  3.16241386e-05] [  3.49142974e-05]
317 [  3.49434420e-05] [  3.16492143e-05] [  3.49434420e-05]
318 [  3.51575845e-05] [  3.18342961e-05] [  3.51575845e-05]
319 [  3.49718790e-05] [  3.16880472e-05] [  3.49718790e-05]
320 [  3.49450760e-05] [  3.16676441e-05] [  3.49450760e-05]
321 [  3.49582179e-05] [  3.16792377e-05] [  3.49582179e-05]
322 [  3.49976753e-05] [  3.17106004e-05] [  3.49976753e-05]
323 [  3.51893938e-05] [  3.18786138e-05] [  3.51893938e-05]
324 [  3.49831000e-05] [  3.17158540e-05] [  3.49831000e-05]
325 [  3.49520119e-05] [  3.16918816e-05] [  3.49520119e-05]
326 [  3.49620956e-05] [  3.17007429e-05] [  3.49620956e-05]
327 [  3.49917124e-05] [  3.17245970e-05] [  3.49917124e-05]
328 [  3.51501285e-05] [  3.18627964e-05] [  3.51501285e-05]
329 [  3.49916380e-05] [  3.17378101e-05] [  3.49916380e-05]
330 [  3.49692310e-05] [  3.17206213e-05] [  3.49692310e-05]
331 [  3.49790893e-05] [  3.17291981e-05] [  3.49790893e-05]
332 [  3.50146458e-05] [  3.17570621e-05] [  3.50146458e-05]
333 [  3.51490845e-05] [  3.18751153e-05] [  3.51490845e-05]
334 [  3.50012030e-05] [  3.17583992e-05] [  3.50012030e-05]
335 [  3.49804967e-05] [  3.17424697e-05] [  3.49804967e-05]
336 [  3.49887884e-05] [  3.17496764e-05] [  3.49887884e-05]
337 [  3.50237133e-05] [  3.17768916e-05] [  3.50237133e-05]
338 [  3.51349363e-05] [  3.18748763e-05] [  3.51349363e-05]
339 [  3.50083733e-05] [  3.17750144e-05] [  3.50083733e-05]
340 [  3.49900888e-05] [  3.17609165e-05] [  3.49900888e-05]
341 [  3.49975539e-05] [  3.17673794e-05] [  3.49975539e-05]
342 [  3.50312322e-05] [  3.17934166e-05] [  3.50312322e-05]
343 [  3.51250651e-05] [  3.18763636e-05] [  3.51250651e-05]
344 [  3.50137002e-05] [  3.17884751e-05] [  3.50137002e-05]
345 [  3.49971672e-05] [  3.17756749e-05] [  3.49971672e-05]
346 [  3.50043873e-05] [  3.17818885e-05] [  3.50043873e-05]
