DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
346 [  3.48957490e-05] [  3.17335369e-05] [  3.48957490e-05]
347 [  3.48972594e-05] [  3.17336891e-05] [  3.48972594e-05]
348 [  3.48745635e-05] [  3.17146193e-05] [  3.48745635e-05]
349 [  3.48516792e-05] [  3.16953709e-05] [  3.48516792e-05]
350 [  3.48340064e-05] [  3.16802901e-05] [  3.48340064e-05]
351 [  3.46231849e-05] [  3.15249983e-05] [  3.46231849e-05]
352 [  3.51347425e-05] [  3.19509252e-05] [  3.51347425e-05]
353 [  3.43068966e-05] [  3.12553430e-05] [  3.43068966e-05]
354 [  3.47782906e-05] [  3.16280638e-05] [  3.47782906e-05]
355 [  3.48836357e-05] [  3.17116078e-05] [  3.48836357e-05]
356 [  3.48969437e-05] [  3.17223778e-05] [  3.48969437e-05]
357 [  3.48888066e-05] [  3.17160955e-05] [  3.48888066e-05]
358 [  3.48787721e-05] [  3.17082696e-05] [  3.48787721e-05]
359 [  3.47392834e-05] [  3.16062593e-05] [  3.47392834e-05]
360 [  3.50767222e-05] [  3.18879623e-05] [  3.50767222e-05]
361 [  3.45359365e-05] [  3.14343572e-05] [  3.45359365e-05]
362 [  3.48413637e-05] [  3.16763986e-05] [  3.48413637e-05]
363 [  3.49095172e-05] [  3.17309067e-05] [  3.49095172e-05]
364 [  3.49189872e-05] [  3.17389908e-05] [  3.49189872e-05]
365 [  3.49150227e-05] [  3.17363918e-05] [  3.49150227e-05]
366 [  3.49081836e-05] [  3.17313802e-05] [  3.49081836e-05]
367 [  3.49039946e-05] [  3.17284527e-05] [  3.49039946e-05]
368 [  3.48104799e-05] [  3.16605620e-05] [  3.48104799e-05]
369 [  3.50415648e-05] [  3.18536104e-05] [  3.50415648e-05]
370 [  3.45469687e-05] [  3.14359000e-05] [  3.45469687e-05]
371 [  3.50197364e-05] [  3.18203227e-05] [  3.50197364e-05]
372 [  3.49642935e-05] [  3.17771721e-05] [  3.49642935e-05]
373 [  3.49448200e-05] [  3.17623017e-05] [  3.49448200e-05]
374 [  3.49375696e-05] [  3.17570763e-05] [  3.49375696e-05]
375 [  3.49329395e-05] [  3.17538161e-05] [  3.49329395e-05]
