DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  '/usr/bin/python' '-m' 'cpppo.server.enip' '--print' '--log' 'logs/protocols_tests_enip_server' '--address' '192.168.1.13:44818' 'LIT101:1=REAL' 'LIT102:1=REAL' 'LIT103:1=REAL' 'Q101:1=REAL' 'Q102:1=REAL'
279   0.39741376256323607 0.2050708807780193 0.31253512180089776
280   0.3975056162847817 0.20490281683186115 0.31227550501954277
281   0.39758696390977871 0.20472904262815766 0.31202106397544577
282   0.39765044169215752 0.20454432502364095 0.31177140860990243
283   0.39771012876257789 0.20436088771891239 0.31152623918718381
284   0.39747234146952415 0.20396466669443969 0.31128245579912839
285   0.39758456495940564 0.20385474497093031 0.31104078652725481
286   0.39764962344973959 0.20370919437488358 0.31080434127289741
287   0.39769374349157238 0.20354944939859512 0.3105723144914006
288   0.39772618035811919 0.20338336608739177 0.3103442924672809
289   0.39775549161027096 0.20321839820350626 0.3101200621224246
290   0.39752426089596238 0.20286758470660837 0.3098969290359887
291   0.39757672587603188 0.20274709905721627 0.30967528519045312
292   0.39763190186023084 0.20263058415624297 0.30945806467224118
293   0.39768065593047025 0.20251119035932943 0.30924514503819739
294   0.39772227741128968 0.20238871212313486 0.30903631036736628
295   0.39776091697922455 0.2022666220677273 0.30883138877947802
296   0.39760642904600541 0.20200716294433338 0.30862836078654388
297   0.39792627723505863 0.20214535963488275 0.30843031918553215
298   0.39772646244499232 0.20185507552351012 0.30823663818245273
299   0.39771587450094609 0.20171750282844123 0.30804380075418764
300   0.39775032154581152 0.20161810838153454 0.30785420721977158
301   0.39778211983214262 0.20151881248668316 0.3076682378045732
302   0.3976695370371699 0.20131809133150511 0.30748437511032339
303   0.39792481002841829 0.20142545974734263 0.30730505446811246
304   0.39779852520759224 0.20121855854416881 0.30713000168235022
305   0.39780853700570712 0.20112194289097288 0.30695659267782976
306   0.39785028365992209 0.20105255640884237 0.30678652358978276
307   0.39788954300905366 0.20098283148066412 0.30662003322014003
308   0.39782668820318995 0.20084164815009181 0.30645602379554077
309   0.39802104152144341 0.20091633054592664 0.30629616375872298
310   0.39797081893966757 0.20079079437277425 0.30614048085188533
311   0.39798933277416021 0.20072140208352551 0.30598708024721233
312   0.39802442684496558 0.20066678230567134 0.30583679371716221
313   0.39805735768919731 0.20061171657402962 0.30568971063957079
