DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
258 [  3.39902540e-05] [  2.99467349e-05] [  3.39902540e-05]
259 [  3.40129638e-05] [  2.99824680e-05] [  3.40129638e-05]
260 [  3.25186979e-05] [  2.89162652e-05] [  3.25186979e-05]
261 [  3.46768406e-05] [  3.06860021e-05] [  3.46768406e-05]
262 [  3.42733461e-05] [  3.03754802e-05] [  3.42733461e-05]
263 [  3.41914113e-05] [  3.03206586e-05] [  3.41914113e-05]
264 [  3.41940393e-05] [  3.03341720e-05] [  3.41940393e-05]
265 [  3.42200223e-05] [  3.03675523e-05] [  3.42200223e-05]
266 [  3.42509526e-05] [  3.04060181e-05] [  3.42509526e-05]
267 [  3.33181948e-05] [  2.97443395e-05] [  3.33181948e-05]
268 [  3.57118561e-05] [  3.17531222e-05] [  3.57118561e-05]
269 [  3.36043101e-05] [  3.00316665e-05] [  3.36043101e-05]
270 [  3.41562647e-05] [  3.04758006e-05] [  3.41562647e-05]
271 [  3.43321184e-05] [  3.06243149e-05] [  3.43321184e-05]
272 [  3.44051524e-05] [  3.06927057e-05] [  3.44051524e-05]
273 [  3.44488632e-05] [  3.07388437e-05] [  3.44488632e-05]
274 [  3.39055654e-05] [  3.03580371e-05] [  3.39055654e-05]
275 [  3.53165862e-05] [  3.15454920e-05] [  3.53165862e-05]
276 [  3.43485973e-05] [  3.07697266e-05] [  3.43485973e-05]
277 [  3.44117708e-05] [  3.08257376e-05] [  3.44117708e-05]
278 [  3.44685979e-05] [  3.08778910e-05] [  3.44685979e-05]
279 [  3.45180180e-05] [  3.09251306e-05] [  3.45180180e-05]
280 [  3.45615527e-05] [  3.09685399e-05] [  3.45615527e-05]
281 [  3.45983783e-05] [  3.10072398e-05] [  3.45983783e-05]
282 [  3.43070588e-05] [  3.08074972e-05] [  3.43070588e-05]
283 [  3.51954165e-05] [  3.15603643e-05] [  3.51954165e-05]
284 [  3.46705414e-05] [  3.11498399e-05] [  3.46705414e-05]
285 [  3.45797880e-05] [  3.10831042e-05] [  3.45797880e-05]
286 [  3.45975378e-05] [  3.11029768e-05] [  3.45975378e-05]
287 [  3.46363160e-05] [  3.11401396e-05] [  3.46363160e-05]
288 [  3.46774065e-05] [  3.11798154e-05] [  3.46774065e-05]
289 [  3.45146005e-05] [  3.10712331e-05] [  3.45146005e-05]
290 [  3.49737479e-05] [  3.14604946e-05] [  3.49737479e-05]
291 [  3.49586633e-05] [  3.14680579e-05] [  3.49586633e-05]
292 [  3.47203356e-05] [  3.12834702e-05] [  3.47203356e-05]
