DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
142 [  3.86393461e-05] [  3.56353384e-05] [  3.86393461e-05]
143 [  3.85870874e-05] [  3.55747613e-05] [  3.85870874e-05]
144 [  3.85361916e-05] [  3.55156758e-05] [  3.85361916e-05]
145 [  3.84886368e-05] [  3.54597602e-05] [  3.84886368e-05]
146 [  3.84413413e-05] [  3.54044604e-05] [  3.84413413e-05]
147 [  3.83959435e-05] [  3.53511033e-05] [  3.83959435e-05]
148 [  3.83529849e-05] [  3.53001658e-05] [  3.83529849e-05]
149 [  3.83107959e-05] [  3.52502602e-05] [  3.83107959e-05]
150 [  3.82703660e-05] [  3.52021899e-05] [  3.82703660e-05]
151 [  3.34816832e-05] [  3.36559553e-05] [  3.34816832e-05]
152 [  2.86764554e-05] [  3.18078429e-05] [  2.86764554e-05]
153 [  2.46010001e-05] [  3.02801551e-05] [  2.46010001e-05]
154 [  2.13243770e-05] [  2.91567543e-05] [  2.13243770e-05]
155 [  1.01197216e-05] [  2.21089287e-05] [  1.01197216e-05]
156 [  3.40698355e-05] [  4.33255710e-05] [  3.40698355e-05]
157 [ -2.11976632e-05] [ -2.26278378e-06] [ -2.11976632e-05]
158 [  9.92045394e-05] [  9.99519577e-05] [  9.92045394e-05]
159 [ -7.43252796e-05] [ -4.35389102e-05] [ -7.43252796e-05]
160 [  1.75847602e-06] [  1.73564513e-05] [  1.75847602e-06]
161 [  1.95027077e-05] [  3.20592252e-05] [  1.95027077e-05]
162 [  2.23635891e-05] [  3.48904341e-05] [  2.23635891e-05]
163 [  2.17162995e-05] [  3.48466001e-05] [  2.17162995e-05]
164 [  2.04838487e-05] [  3.42491136e-05] [  2.04838487e-05]
165 [  1.93759658e-05] [  3.36703243e-05] [  1.93759658e-05]
166 [  1.85280272e-05] [  3.32276229e-05] [  1.85280272e-05]
167 [  1.79327068e-05] [  3.29244127e-05] [  1.79327068e-05]
168 [  1.75522062e-05] [  3.27388608e-05] [  1.75522062e-05]
169 [  1.73476596e-05] [  3.26473084e-05] [  1.73476596e-05]
170 [  1.72852890e-05] [  3.26292745e-05] [  1.72852890e-05]
171 [  1.73353726e-05] [  3.26666452e-05] [  1.73353726e-05]
172 [  1.74755412e-05] [  3.27465540e-05] [  1.74755412e-05]
173 [  1.76844677e-05] [  3.28562276e-05] [  1.76844677e-05]
174 [  1.79478732e-05] [  3.29880839e-05] [  1.79478732e-05]
175 [  1.82534317e-05] [  3.31356618e-05] [  1.82534317e-05]
176 [  1.85890135e-05] [  3.32921498e-05] [  1.85890135e-05]
177 [  1.89460047e-05] [  3.34531851e-05] [  1.89460047e-05]
178 [  1.93192332e-05] [  3.36169402e-05] [  1.93192332e-05]
179 [  1.97021844e-05] [  3.37801765e-05] [  1.97021844e-05]
180 [  2.00889501e-05] [  3.39398129e-05] [  2.00889501e-05]
181 [  2.04787205e-05] [  3.40967950e-05] [  2.04787205e-05]
182 [  2.08664578e-05] [  3.42483585e-05] [  2.08664578e-05]
183 [  2.12509318e-05] [  3.43946826e-05] [  2.12509318e-05]
184 [  2.16308233e-05] [  3.45357491e-05] [  2.16308233e-05]
185 [  2.20036786e-05] [  3.46704361e-05] [  2.20036786e-05]
186 [  2.23690580e-05] [  3.47991537e-05] [  2.23690580e-05]
187 [  2.27259701e-05] [  3.49217506e-05] [  2.27259701e-05]
188 [  2.43362008e-05] [  3.59566305e-05] [  2.43362008e-05]
189 [  2.08669062e-05] [  3.28893844e-05] [  2.08669062e-05]
190 [  1.14482016e-05] [  2.44588021e-05] [  1.14482016e-05]
191 [  2.49996549e-05] [  3.51454627e-05] [  2.49996549e-05]
192 [  3.86919285e-05] [  4.66941712e-05] [  3.86919285e-05]
193 [  1.73931300e-05] [  2.89804588e-05] [  1.73931300e-05]
194 [  2.58985054e-05] [  3.56553238e-05] [  2.58985054e-05]
195 [  2.78415396e-05] [  3.71400359e-05] [  2.78415396e-05]
196 [  2.81211803e-05] [  3.73028742e-05] [  2.81211803e-05]
197 [  2.80307458e-05] [  3.71666126e-05] [  2.80307458e-05]
198 [  2.79007024e-05] [  3.69936794e-05] [  2.79007024e-05]
199 [  2.78099883e-05] [  3.68478821e-05] [  2.78099883e-05]
200 [  2.77657285e-05] [  3.67358454e-05] [  2.77657285e-05]
201 [  2.69650819e-05] [  3.43813462e-05] [  2.69650819e-05]
202 [  2.60522791e-05] [  3.21111854e-05] [  2.60522791e-05]
203 [  2.53536597e-05] [  3.01693616e-05] [  2.53536597e-05]
204 [  2.49032037e-05] [  2.85698144e-05] [  2.49032037e-05]
205 [  2.46655464e-05] [  2.72723923e-05] [  2.46655464e-05]
206 [  2.45978660e-05] [  2.62318855e-05] [  2.45978660e-05]
207 [  2.46577230e-05] [  2.54038986e-05] [  2.46577230e-05]
208 [  2.48144302e-05] [  2.47542017e-05] [  2.48144302e-05]
209 [  2.50431155e-05] [  2.42539184e-05] [  2.50431155e-05]
210 [  2.53214457e-05] [  2.38767265e-05] [  2.53214457e-05]
211 [  2.56340548e-05] [  2.36025352e-05] [  2.56340548e-05]
212 [  2.59682360e-05] [  2.34139523e-05] [  2.59682360e-05]
213 [  2.63145737e-05] [  2.32967918e-05] [  2.63145737e-05]
214 [  2.66670433e-05] [  2.32401925e-05] [  2.66670433e-05]
215 [  2.70180125e-05] [  2.32323859e-05] [  2.70180125e-05]
216 [  2.73648771e-05] [  2.32661932e-05] [  2.73648771e-05]
217 [  2.77035740e-05] [  2.33336420e-05] [  2.77035740e-05]
218 [  2.80335843e-05] [  2.34301048e-05] [  2.80335843e-05]
